category,file_name,relative_to_project,relative_to_data,parent_directory,suffix,size_bytes,size_mb,size_readable,modified_utc,created_utc
clean,fha_hecmsnapshot_Apr2012.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2012.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2012.parquet,clean\archived\hecm,parquet,175104,0.167,171.00 KB,2025-03-23T11:10:50.896296+00:00,2025-03-23T11:10:50.896296+00:00
clean,fha_hecmsnapshot_Apr2013.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2013.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2013.parquet,clean\archived\hecm,parquet,205938,0.1964,201.11 KB,2025-03-23T11:10:50.901110+00:00,2025-03-23T11:10:50.900109+00:00
clean,fha_hecmsnapshot_Apr2014.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2014.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2014.parquet,clean\archived\hecm,parquet,182030,0.1736,177.76 KB,2025-03-23T11:10:50.904110+00:00,2025-03-23T11:10:50.904110+00:00
clean,fha_hecmsnapshot_Apr2015.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2015.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2015.parquet,clean\archived\hecm,parquet,191416,0.1825,186.93 KB,2025-03-23T11:10:50.911685+00:00,2025-03-23T11:10:50.911685+00:00
clean,fha_hecmsnapshot_Apr2016.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2016.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2016.parquet,clean\archived\hecm,parquet,185369,0.1768,181.02 KB,2025-03-23T11:10:50.915682+00:00,2025-03-23T11:10:50.914680+00:00
clean,fha_hecmsnapshot_Apr2017.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2017.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2017.parquet,clean\archived\hecm,parquet,210110,0.2004,205.19 KB,2025-03-23T11:10:50.920074+00:00,2025-03-23T11:10:50.919072+00:00
clean,fha_hecmsnapshot_Apr2018.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2018.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2018.parquet,clean\archived\hecm,parquet,149344,0.1424,145.84 KB,2025-03-23T11:10:50.924071+00:00,2025-03-23T11:10:50.923073+00:00
clean,fha_hecmsnapshot_Apr2019.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2019.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2019.parquet,clean\archived\hecm,parquet,135899,0.1296,132.71 KB,2025-03-23T11:10:50.928144+00:00,2025-03-23T11:10:50.927075+00:00
clean,fha_hecmsnapshot_Apr2020.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2020.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2020.parquet,clean\archived\hecm,parquet,85081,0.0811,83.09 KB,2025-03-23T11:10:50.931155+00:00,2025-03-23T11:10:50.931155+00:00
clean,fha_hecmsnapshot_Apr2021.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2021.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2021.parquet,clean\archived\hecm,parquet,166696,0.159,162.79 KB,2025-03-23T11:10:50.935159+00:00,2025-03-23T11:10:50.934159+00:00
clean,fha_hecmsnapshot_Apr2022.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2022.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2022.parquet,clean\archived\hecm,parquet,228645,0.2181,223.29 KB,2025-03-23T11:10:50.939358+00:00,2025-03-23T11:10:50.938358+00:00
clean,fha_hecmsnapshot_Apr2023.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2023.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2023.parquet,clean\archived\hecm,parquet,101304,0.0966,98.93 KB,2025-03-23T11:10:50.941357+00:00,2025-03-23T11:10:50.941357+00:00
clean,fha_hecmsnapshot_Apr2024.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Apr2024.parquet,clean\archived\hecm\fha_hecmsnapshot_Apr2024.parquet,clean\archived\hecm,parquet,105656,0.1008,103.18 KB,2025-03-23T11:10:50.944365+00:00,2025-03-23T11:10:50.944365+00:00
clean,fha_hecmsnapshot_Aug2012.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2012.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2012.parquet,clean\archived\hecm,parquet,158623,0.1513,154.91 KB,2025-03-23T11:10:50.953244+00:00,2025-03-23T11:10:50.952246+00:00
clean,fha_hecmsnapshot_Aug2013.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2013.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2013.parquet,clean\archived\hecm,parquet,215668,0.2057,210.61 KB,2025-03-23T11:10:50.957240+00:00,2025-03-23T11:10:50.956240+00:00
clean,fha_hecmsnapshot_Aug2014.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2014.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2014.parquet,clean\archived\hecm,parquet,150345,0.1434,146.82 KB,2025-03-23T11:10:50.959509+00:00,2025-03-23T11:10:50.959509+00:00
clean,fha_hecmsnapshot_Aug2015.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2015.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2015.parquet,clean\archived\hecm,parquet,231003,0.2203,225.59 KB,2025-03-23T11:10:50.963506+00:00,2025-03-23T11:10:50.963506+00:00
clean,fha_hecmsnapshot_Aug2016.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2016.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2016.parquet,clean\archived\hecm,parquet,185687,0.1771,181.33 KB,2025-03-23T11:10:50.968226+00:00,2025-03-23T11:10:50.967512+00:00
clean,fha_hecmsnapshot_Aug2017.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2017.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2017.parquet,clean\archived\hecm,parquet,203852,0.1944,199.07 KB,2025-03-23T11:10:50.974234+00:00,2025-03-23T11:10:50.974234+00:00
clean,fha_hecmsnapshot_Aug2018.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2018.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2018.parquet,clean\archived\hecm,parquet,144591,0.1379,141.20 KB,2025-03-23T11:10:50.977593+00:00,2025-03-23T11:10:50.977232+00:00
clean,fha_hecmsnapshot_Aug2019.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2019.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2019.parquet,clean\archived\hecm,parquet,114237,0.1089,111.56 KB,2025-03-23T11:10:50.981114+00:00,2025-03-23T11:10:50.980115+00:00
clean,fha_hecmsnapshot_Aug2020.parquet,data\clean\archived\hecm\fha_hecmsnapshot_Aug2020.parquet,clean\archived\hecm\fha_hecmsnapshot_Aug2020.parquet,clean\archived\hecm,parquet,162965,0.1554,159.15 KB,2025-03-23T11:10:50.984113+00:00,2025-03-23T11:10:50.984113+00:00
