institution_number,institution_name,type,first_date,last_date,num_months
10,WASHINGTON FIRST BANK,Originator,2015-03-01,2015-03-01,1
100,"GREEN BANK, N.A.",Originator,2015-07-01,2015-07-01,1
10009,SECURITY BANCORP,Originator,2010-05-01,2011-04-01,12
10018,FIRST CONSTITUTION BANK,Originator,2010-05-01,2015-03-01,17
10018,1ST CONSTITUTION BANK,Originator,2015-05-01,2022-03-01,63
10018,1ST CONSTITUTION BANK,Sponsor,2016-11-01,2017-04-01,5
10023,INDUSTRIAL BANK NA,Originator,2010-06-01,2025-05-01,96
10024,SOUTH CENTRAL BANK AND TRUST CO,Originator,2010-05-01,2020-01-01,62
10025,HOME FEDERAL BANK,Originator,2010-05-01,2011-12-01,20
10028,LEADER MORTGAGE CORPORATION,Originator,2010-05-01,2018-12-01,100
10029,BUCCANEER MORTGAGE AND INV,Originator,2010-05-01,2011-03-01,6
1003,"EDUCATED MORTGAGE SERVICES, LLC",Originator,2024-11-01,2025-06-01,8
10033,WOODFOREST NATIONAL BANK,Originator,2010-07-01,2011-01-01,4
10043,M AND I MARSHALL AND ILSLEY BANK,Originator,2010-05-01,2011-08-01,16
10048,1ST HOME MORTGAGE INC,Originator,2010-05-01,2011-01-01,9
10049,NEW WEST LENDING INC,Originator,2010-05-01,2025-06-01,182
1005,COOPERATIVA DE AHORRO Y CREDITO DE ARECI,Originator,2022-07-01,2022-12-01,6
10050,FIRST NATIONAL BANK,Originator,2010-05-01,2011-06-01,10
1006,SAVIBANK,Originator,2021-10-01,2022-05-01,3
10060,HOME FIRST MORTGAGE,Originator,2010-06-01,2010-09-01,3
10064,ASSOCIATED MORTGAGE CORPORATION,Originator,2010-05-01,2025-06-01,182
10064,ASSOCIATED MORTGAGE CORPORATION,Sponsor,2010-05-01,2024-06-01,14
10067,PATRIOT MORTGAGE COMPANY INC,Originator,2010-05-01,2010-06-01,2
10070,CONSOLIDATED LENDERS CORPORATION,Originator,2010-05-01,2010-05-01,1
10072,HANSEN FINANCIAL CORPORATION,Originator,2010-07-01,2010-12-01,3
10089,MORTGAGE FACTORY INC,Originator,2010-05-01,2015-12-01,62
1009,PARK STATE BANK,Originator,2021-09-01,2025-05-01,22
10090,OCEANSIDE MORTGAGE COMPANY,Originator,2010-05-01,2025-06-01,182
10096,SUNSHINE FUNDING CO,Originator,2010-06-01,2010-06-01,1
1010,"CENTRAL MORTGAGE FUNDING, LLC",Originator,2024-02-01,2025-01-01,12
1010,"CENTRAL MORTGAGE FUNDING, LLC",Sponsor,2024-04-01,2025-03-01,10
10100,STERLING NATIONAL MORTGAGE COMPANY INC,Originator,2010-05-01,2011-08-01,16
10100,STERLING NATIONAL MORTGAGE COMPANY INC,Sponsor,2010-05-01,2011-06-01,13
10101,IDAHO HOUSING AND FINANCE ASSN,Originator,2010-11-01,2025-06-01,105
10101,IDAHO HOUSING AND FINANCE ASSN,Sponsor,2010-05-01,2025-06-01,172
10105,SHARPE MORTGAGE LENDING SERVICES,Originator,2010-10-01,2010-12-01,3
